E	dosup	dosdw	Int
-47.9	7.17E-85	7.17E-85	3.03E-84
-47.89	7.17E-85	7.17E-85	3.04E-84
-47.88	7.17E-85	7.17E-85	3.06E-84
-47.87	7.17E-85	7.17E-85	3.07E-84
-47.86	7.17E-85	7.17E-85	3.09E-84
-47.85	7.17E-85	7.17E-85	3.10E-84
-47.84	7.17E-85	7.17E-85	3.11E-84
-47.83	7.17E-85	7.17E-85	3.13E-84
-47.82	7.17E-85	7.17E-85	3.14E-84
-47.81	7.17E-85	7.17E-85	3.16E-84
-47.8	7.17E-85	7.17E-85	3.17E-84
-47.79	7.17E-85	7.17E-85	3.19E-84
-47.78	7.17E-85	7.17E-85	3.20E-84
-47.77	7.17E-85	7.17E-85	3.21E-84
-47.76	7.17E-85	7.17E-85	3.23E-84
-47.75	7.17E-85	7.17E-85	3.24E-84
-47.74	7.17E-85	7.17E-85	3.26E-84
-47.73	7.17E-85	7.17E-85	3.27E-84
-47.72	7.17E-85	7.17E-85	3.29E-84
-47.71	7.17E-85	7.17E-85	3.30E-84
-47.7	7.17E-85	7.17E-85	3.31E-84
-47.69	7.17E-85	7.17E-85	3.33E-84
-47.68	7.17E-85	7.17E-85	3.34E-84
-47.67	7.17E-85	7.17E-85	3.36E-84
-47.66	7.17E-85	7.17E-85	3.37E-84
-47.65	7.17E-85	7.17E-85	3.39E-84
-47.64	7.17E-85	7.17E-85	3.40E-84
-47.63	7.17E-85	7.17E-85	3.41E-84
-47.62	7.17E-85	7.17E-85	3.43E-84
-47.61	7.17E-85	7.17E-85	3.44E-84
-47.6	7.17E-85	7.17E-85	3.46E-84
-47.59	7.17E-85	7.17E-85	3.47E-84
-47.58	7.17E-85	7.17E-85	3.49E-84
-47.57	7.17E-85	7.17E-85	3.50E-84
-47.56	7.17E-85	7.17E-85	3.52E-84
-47.55	7.17E-85	7.17E-85	3.53E-84
-47.54	7.17E-85	7.17E-85	3.54E-84
-47.53	7.17E-85	7.17E-85	3.56E-84
-47.52	7.17E-85	7.17E-85	3.57E-84
-47.51	7.17E-85	7.17E-85	3.59E-84
-47.5	7.17E-85	7.17E-85	3.60E-84
-47.49	7.17E-85	7.17E-85	3.62E-84
-47.48	7.17E-85	7.17E-85	3.63E-84
-47.47	7.17E-85	7.17E-85	3.64E-84
-47.46	7.17E-85	7.17E-85	3.66E-84
-47.45	7.17E-85	7.17E-85	3.67E-84
-47.44	7.17E-85	7.17E-85	3.69E-84
-47.43	7.17E-85	7.17E-85	3.70E-84
-47.42	7.17E-85	7.17E-85	3.72E-84
-47.41	7.17E-85	7.17E-85	3.73E-84
-47.4	7.17E-85	7.17E-85	3.74E-84
-47.39	7.17E-85	7.17E-85	3.76E-84
-47.38	7.17E-85	7.17E-85	3.77E-84
-47.37	7.17E-85	7.17E-85	3.79E-84
-47.36	7.17E-85	7.17E-85	3.80E-84
-47.35	7.17E-85	7.17E-85	3.82E-84
-47.34	7.17E-85	7.17E-85	3.83E-84
-47.33	7.17E-85	7.17E-85	3.85E-84
-47.32	7.17E-85	7.17E-85	3.86E-84
-47.31	7.17E-85	7.17E-85	3.87E-84
-47.3	7.17E-85	7.17E-85	3.89E-84
-47.29	7.17E-85	7.17E-85	3.90E-84
-47.28	7.17E-85	7.17E-85	3.92E-84
-47.27	7.17E-85	7.17E-85	3.93E-84
-47.26	7.17E-85	7.17E-85	3.95E-84
-47.25	7.17E-85	7.17E-85	3.96E-84
-47.24	7.17E-85	7.17E-85	3.97E-84
-47.23	7.17E-85	7.17E-85	3.99E-84
-47.22	7.17E-85	7.17E-85	4.00E-84
-47.21	7.17E-85	7.17E-85	4.02E-84
-47.2	7.17E-85	7.17E-85	4.03E-84
-47.19	7.17E-85	7.17E-85	4.05E-84
-47.18	7.17E-85	7.17E-85	4.06E-84
-47.17	7.17E-85	7.17E-85	4.07E-84
-47.16	7.17E-85	7.17E-85	4.09E-84
-47.15	7.17E-85	7.17E-85	4.10E-84
-47.14	7.17E-85	7.17E-85	4.12E-84
-47.13	7.17E-85	7.17E-85	4.13E-84
-47.12	7.17E-85	7.17E-85	4.15E-84
-47.11	7.17E-85	7.17E-85	4.16E-84
-47.1	7.17E-85	7.17E-85	4.18E-84
-47.09	7.17E-85	7.17E-85	4.19E-84
-47.08	7.17E-85	7.17E-85	4.20E-84
-47.07	7.17E-85	7.17E-85	4.22E-84
-47.06	7.17E-85	7.17E-85	4.23E-84
-47.05	7.17E-85	7.17E-85	4.25E-84
-47.04	7.17E-85	7.17E-85	4.26E-84
-47.03	7.17E-85	7.17E-85	4.28E-84
-47.02	7.17E-85	7.17E-85	4.29E-84
-47.01	7.17E-85	7.17E-85	4.30E-84
-47	7.17E-85	7.17E-85	4.32E-84
