E	(eV)	dos(E)	Int	dos(E)	EFermi	=	12.52	eV
-44.6	3.23E-84	1.75E-83						
-44.59	3.23E-84	1.75E-83						
-44.58	3.23E-84	1.75E-83						
-44.57	3.23E-84	1.75E-83						
-44.56	3.23E-84	1.76E-83						
-44.55	3.23E-84	1.76E-83						
-44.54	3.23E-84	1.76E-83						
-44.53	3.23E-84	1.77E-83						
-44.52	3.23E-84	1.77E-83						
-44.51	3.23E-84	1.77E-83						
-44.5	3.23E-84	1.78E-83						
-44.49	3.23E-84	1.78E-83						
-44.48	3.23E-84	1.78E-83						
-44.47	3.23E-84	1.79E-83						
-44.46	3.23E-84	1.79E-83						
-44.45	3.23E-84	1.79E-83						
-44.44	3.23E-84	1.80E-83						
-44.43	3.23E-84	1.80E-83						
-44.42	3.23E-84	1.80E-83						
-44.41	3.23E-84	1.81E-83						
-44.4	3.23E-84	1.81E-83						
-44.39	3.23E-84	1.81E-83						
-44.38	3.23E-84	1.82E-83						
-44.37	3.23E-84	1.82E-83						
-44.36	3.23E-84	1.82E-83						
-44.35	3.23E-84	1.83E-83						
-44.34	3.23E-84	1.83E-83						
-44.33	3.23E-84	1.83E-83						
-44.32	3.23E-84	1.84E-83						
-44.31	3.23E-84	1.84E-83						
-44.3	3.23E-84	1.84E-83						
-44.29	3.23E-84	1.85E-83						
-44.28	3.23E-84	1.85E-83						
-44.27	3.23E-84	1.85E-83						
-44.26	3.23E-84	1.85E-83						
-44.25	3.23E-84	1.86E-83						
-44.24	3.23E-84	1.86E-83						
-44.23	3.23E-84	1.86E-83						
-44.22	3.23E-84	1.87E-83						
-44.21	3.23E-84	1.87E-83						
-44.2	3.23E-84	1.87E-83						
-44.19	3.23E-84	1.88E-83						
-44.18	3.23E-84	1.88E-83						
-44.17	3.23E-84	1.88E-83						
-44.16	3.23E-84	1.89E-83						
-44.15	3.23E-84	1.89E-83						
-44.14	3.23E-84	1.89E-83						
-44.13	3.23E-84	1.90E-83						
-44.12	3.23E-84	1.90E-83						
-44.11	3.23E-84	1.90E-83						
-44.1	3.23E-84	1.91E-83						
-44.09	3.23E-84	1.91E-83						
-44.08	3.23E-84	1.91E-83						
-44.07	3.23E-84	1.92E-83						
-44.06	3.23E-84	1.92E-83						
-44.05	3.23E-84	1.92E-83						
-44.04	3.23E-84	1.93E-83						
-44.03	3.23E-84	1.93E-83						
